id	Targets	Context	Definition	POS	Type	Real_Contexts	Generated_Definition
en.trial.189	forthwith	Then Proclamation was made , that they that had ought to say for their Lord the King against the Prisoner at the Bar , should forthwith appear and give in their evidence .	Without delay ; immediately .	adverb	synonym/antonym-based	Then Proclamation was made , that they that had ought to say for their Lord the King against the Prisoner at the Bar , should forthwith appear and give in their evidence . What is the definition of forthwith?	At once ; without delay.
en.trial.190	print	a print edition of a book	Of , relating to , or writing for printed publications .	adjective	paraphrastic	a print edition of a book What is the definition of print?	of or relating to printed matter
en.trial.191	crotch	to crotch the ends of ropes in splicing or tying knots	To provide with a crotch ; to give the form of a crotch to .	verb	paraphrastic	to crotch the ends of ropes in splicing or tying knots What is the definition of crotch?	To join by crotching.
en.trial.192	stuff	They totally stuffed us in that business deal .	To heavily defeat or get the better of .	verb	paraphrastic	They totally stuffed us in that business deal . What is the definition of stuff?	To extort money or other resources from.
en.trial.193	upset	The carriage upset when the horse bolted .	To be upset or knocked over .	verb	synonym/antonym-based	The carriage upset when the horse bolted . What is the definition of upset?	To become unsteady.
en.trial.194	unction	To be heir , and to be king / By sacred unction , thy deserved right .	A religious or ceremonial anointing .	noun	hypernym-based	To be heir , and to be king / By sacred unction , thy deserved right . What is the definition of unction?	A vow, a vow of obedience ; a vow of supplication.
en.trial.195	hoover	Then there is the little-known family of organisms called hantaviruses , which swarm in the micro-haze above the feces of mice and rats and are hoovered into the human respiratory system by anyone unlucky enough to stick a breathing orifice near them—by lying down , say , on a sleeping platform over which infected mice have recently scampered .	To suck in or inhale , as if by a vacuum cleaner .	verb	hypernym-based	Then there is the little-known family of organisms called hantaviruses , which swarm in the micro-haze above the feces of mice and rats and are hoovered into the human respiratory system by anyone unlucky enough to stick a breathing orifice near them—by lying down , say , on a sleeping platform over which infected mice have recently scampered . What is the definition of hoover?	To use a vacuum cleaner.
en.trial.196	pigment	Chlorophyll is the pigment responsible for most plants ' green colouring .	Any color in plant or animal cells	noun	hypernym-based	Chlorophyll is the pigment responsible for most plants ' green colouring . What is the definition of pigment?	A substance that is a constituent of a plant's colour.
en.trial.197	cloth	Like all cultural realities , contemporary modernism is packed with its own myths , its own largely unrecognized metaphors , its own poetics literally perceived -- or should we say , `` misperceived '' ? -- its own reifications and idiosyncratic distinctions . And it comes to us decorated in the cloth of emancipation , a new freedom that would seem to liberate us from those restraints and bonds that were the excretions of an older mindset , an alien political and social order , a rigid and stultifying hierarchy now perceived as riddled with superstition , arbitrary premise , and false conjunction — in contrast , of course , to the liberated mindset that bespeaks our own age !	Appearance ; seeming .	noun	synonym/antonym-based	Like all cultural realities , contemporary modernism is packed with its own myths , its own largely unrecognized metaphors , its own poetics literally perceived -- or should we say , `` misperceived '' ? -- its own reifications and idiosyncratic distinctions . And it comes to us decorated in the cloth of emancipation , a new freedom that would seem to liberate us from those restraints and bonds that were the excretions of an older mindset , an alien political and social order , a rigid and stultifying hierarchy now perceived as riddled with superstition , arbitrary premise , and false conjunction — in contrast , of course , to the liberated mindset that bespeaks our own age ! What is the definition of cloth?	A covering or covering.
en.trial.198	clearance	The plane got clearance from air traffic control , and we were off .	A permission for a vehicle to proceed , or for a person to travel .	noun	synonym/antonym-based	The plane got clearance from air traffic control , and we were off . What is the definition of clearance?	The act of allowing someone or something to enter or leave a place.
en.trial.199	sedentary	that any education that confined itself to sedentary pursuits was essentially imperfect , that the body as well as the mind should be cultivated	Not moving much ; sitting around .	adjective	paraphrastic	that any education that confined itself to sedentary pursuits was essentially imperfect , that the body as well as the mind should be cultivated What is the definition of sedentary?	Not active or active ; not engaged in activity.
en.trial.200	motto	'Gentlemen , I can tell you what the new queen will take as her motto . It is Bound to Obey and Serve . '	A sentence , phrase , or word , forming part of an heraldic achievement .	noun	hypernym-based	'Gentlemen , I can tell you what the new queen will take as her motto . It is Bound to Obey and Serve . ' What is the definition of motto?	A phrase or phrase of a specified kind, especially one used as a symbol of a particular religion or political party.
